Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
All Japan Pro Wrestling,"Tokyo, Japan",Shin-Kiba 1st RING,2023-06-26,AJPW Dynamite Series 2023 - Tag 4,Attendance not available.,https://www.cagematch.net/?id=1&nr=369550
All Japan Pro Wrestling,"Tokyo, Japan",Ota City General Gymnasium,2023-06-17,AJPW Dynamite Series 2023 - Tag 3: New Age MANIAx,"1,966",https://www.cagematch.net/?id=1&nr=369028
All Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-06-15,AJPW Dynamite Series 2023 - Tag 2,984,https://www.cagematch.net/?id=1&nr=369002
All Japan Pro Wrestling,"Koriyama, Fukushima, Japan",Big Palette Fukushima,2023-06-11,AJPW Dynamite Series 2023 - Tag 1,637,https://www.cagematch.net/?id=1&nr=368762
New Japan Pro Wrestling,"Tokyo, Japan",Ryogoku Kokugikan,2023-06-09,NJPW/AJPW/NOAH All Together Again,"6,569",https://www.cagematch.net/?id=1&nr=365056
All Japan Pro Wrestling,"Tokyo, Japan",Sun Machida-Asahi Gymnasium,2023-06-03,"AJPW Charity Machida Event ~Back To Origin 51st Anniversary Thank You, King's Soul~",810,https://www.cagematch.net/?id=1&nr=368254
New Japan Pro Wrestling,"Sakura, Chiba, Japan",Sakura Civic Gymnasium,2023-06-18,NJPW New Japan Road 2023 - Tag 7: Yuji Nagata Produce Blue Justice XII ~ Blue Justice Return,"1,716",https://www.cagematch.net/?id=1&nr=364841
New Japan Pro Wrestling,"Hachioji, Tokyo, Japan",Esforta Arena Hachioji,2023-06-17,NJPW New Japan Road 2023 - Tag 6,"1,565",https://www.cagematch.net/?id=1&nr=364840
New Japan Pro Wrestling,"Numazu, Shizuoka, Japan",Kira Messe Numazu,2023-06-16,NJPW New Japan Road 2023 - Tag 5,707,https://www.cagematch.net/?id=1&nr=364839
New Japan Pro Wrestling,"Kuki, Saitama, Japan",Kuki City Gymnasium,2023-06-14,NJPW New Japan Road 2023 - Tag 4,629,https://www.cagematch.net/?id=1&nr=364838
New Japan Pro Wrestling,"Shirakawa, Fukushima, Japan",Shirakawa City Central Gymnasium,2023-06-13,NJPW New Japan Road 2023 - Tag 3,523,https://www.cagematch.net/?id=1&nr=364837
New Japan Pro Wrestling,"Kamisu, Ibaraki, Japan", Ibaraki Kamisu Disaster Prevention Arena,2023-06-11,NJPW New Japan Road 2023 - Tag 2,783,https://www.cagematch.net/?id=1&nr=364836
New Japan Pro Wrestling,"Chiba, Japan",Makuhari Messe International Conference Hall 1,2023-06-10,NJPW New Japan Road 2023 - Tag 1,684,https://www.cagematch.net/?id=1&nr=364835
New Japan Pro Wrestling,"Osaka, Japan",Osaka-Jo Hall,2023-06-04,NJPW Dominion 6.4 In Osaka-Jo Hall,"7,040",https://www.cagematch.net/?id=1&nr=364814
Pro Wrestling NOAH,"Tokushima, Japan",Tokushima City Gymnasium,2023-06-24,NOAH Kenoh 15th Anniversary Show - ~ Since 2008 ~,"1,321",https://www.cagematch.net/?id=1&nr=369474
Pro Wrestling NOAH,"Tokyo, Japan",Korakuen Hall,2023-06-22,NOAH Star Navigation 2023,"1,022",https://www.cagematch.net/?id=1&nr=369363
Pro Wrestling NOAH,"Osaka, Japan",Osaka ATC Hall,2023-06-18,NOAH Sunny Voyage 2023,335,https://www.cagematch.net/?id=1&nr=369078
Pro Wrestling NOAH,"Nagoya, Aichi, Japan",Nagoya International Conference Hall Event Hall,2023-06-17,NOAH Green Journey 2023 In Nagoya,833,https://www.cagematch.net/?id=1&nr=369029
Pro Wrestling NOAH,"Yokohama, Kanagawa, Japan",Yokohama Radiant Hall,2023-06-10,NOAH Sunny Voyage 2023,310,https://www.cagematch.net/?id=1&nr=368642
